Pizza	Cheesy Pizza	hyponym		
Pizza	Interesting Pizza	hyponym		
Pizza	Meaty Pizza	hyponym		
Pizza	Named Pizza	hyponym		
Pizza	Non Vegetarian Pizza	hyponym		
Pizza	Real Italian Pizza	hyponym		
Pizza	Spicy Pizza	hyponym		
Pizza	Spicy Pizza Equivalent	hyponym		
Pizza	Thin And Crispy Pizza	hyponym		
Pizza	Unclosed Pizza	hyponym		
Pizza	Vegetarian Pizza	hyponym		
Named Pizza	American	hyponym		
Named Pizza	AmericanHot	hyponym		
Named Pizza	Cajun	hyponym		
Named Pizza	Capricciosa	hyponym		
Named Pizza	Caprina	hyponym		
Named Pizza	Fiorentina	hyponym		
Named Pizza	Four Seasons	hyponym		
Named Pizza	Frutti DiMare	hyponym		
Named Pizza	Giardiniera	hyponym		
Named Pizza	LaReine	hyponym		
Named Pizza	Margherita	hyponym		
Named Pizza	Mushroom	hyponym		
Named Pizza	Napoletana	hyponym		
Named Pizza	Parmense	hyponym		
Named Pizza	Pollo Ad Astra	hyponym		
Named Pizza	Prince Carlo	hyponym		
Named Pizza	Quattro Formaggi	hyponym		
Named Pizza	Rosa	hyponym		
Named Pizza	Siciliana	hyponym		
Named Pizza	Sloppy Giuseppe	hyponym		
Named Pizza	Soho	hyponym		
Named Pizza	Veneziana	hyponym		
Pizza Base	Deep Pan Base	hyponym		
Pizza Base	Thin And Crispy Base	hyponym		
Pizza Topping	Cheese Topping	hyponym		
Pizza Topping	Fruit Topping	hyponym		
Pizza Topping	Herb Spice Topping	hyponym		
Pizza Topping	Meat Topping	hyponym		
Pizza Topping	Nut Topping	hyponym		
Pizza Topping	Sauce Topping	hyponym		
Pizza Topping	Seafood Topping	hyponym		
Pizza Topping	Spicy Topping	hyponym		
Pizza Topping	Vegetable Topping	hyponym		
Pizza Topping	Vegetarian Topping	hyponym		
Cheese Topping	Cheesy Vegetable Topping	hyponym		
Cheese Topping	Four Cheeses Topping	hyponym		
Cheese Topping	Goats Cheese Topping	hyponym		
Cheese Topping	Gorgonzola Topping	hyponym		
Cheese Topping	Mozzarella Topping	hyponym		
Fruit Topping	Sultana Topping	hyponym		
Herb Spice Topping	Cajun Spice Topping	hyponym		
Herb Spice Topping	Rosemary Topping	hyponym		
Meat Topping	Chicken Topping	hyponym		
Meat Topping	Ham Topping	hyponym		
Meat Topping	Hot Spiced Beef Topping	hyponym		
Meat Topping	Peperoni Sausage Topping	hyponym		
Ham Topping	Parma Ham Topping	hyponym		
Nut Topping	Pine Kernel Topping	hyponym		
Sauce Topping	Tobasco Pepper Sauce Topping	hyponym		
Seafood Topping	Anchovies Topping	hyponym		
Seafood Topping	Mixed Seafood Topping	hyponym		
Seafood Topping	Prawns Topping	hyponym		
Vegetable Topping	Artichoke Topping	hyponym		
Vegetable Topping	Asparagus Topping	hyponym		
Vegetable Topping	Caper Topping	hyponym		
Vegetable Topping	Cheesy Vegetable Topping	hyponym		
Vegetable Topping	Garlic Topping	hyponym		
Vegetable Topping	Leek Topping	hyponym		
Vegetable Topping	Mushroom Topping	hyponym		
Vegetable Topping	Olive Topping	hyponym		
Vegetable Topping	Onion Topping	hyponym		
Vegetable Topping	Pepper Topping	hyponym		
Vegetable Topping	Petit Pois Topping	hyponym		
Vegetable Topping	Rocket Topping	hyponym		
Vegetable Topping	Spinach Topping	hyponym		
Vegetable Topping	Tomato Topping	hyponym		
Onion Topping	Red Onion Topping	hyponym		
Green Pepper Topping	Hot Green Pepper Topping	hyponym		
Pepper Topping	Green Pepper Topping	hyponym		
Pepper Topping	Jalapeno Pepper Topping	hyponym		
Pepper Topping	Peperonata Topping	hyponym		
Pepper Topping	Sweet Pepper Topping	hyponym		
Tomato Topping	Sliced Tomato Topping	hyponym		
Tomato Topping	Sundried Tomato Topping	hyponym		
